month,mean_point_kwh,p10_point_kwh,p50_point_kwh,p90_point_kwh,mean_q10_kwh,p10_q10_kwh,p50_q10_kwh,p90_q10_kwh
1,447.88898990332035,333.5740583251953,438.49618585205076,572.2162004516603,222.14233082722473,155.86951746749878,214.64926723861694,300.8398261825562
2,980.3888995880127,792.1478091674804,977.4431767578125,1182.328422241211,565.6219245489501,419.9341001586914,557.2498227996826,720.1229909545898
3,1845.4024737265624,1593.9219850585937,1838.0250600585937,2109.5225992675782,1208.5857006351318,972.4959125976562,1202.3318798828125,1453.5215732177733
4,2341.6130105234374,2100.113276123047,2350.70301953125,2582.6388680664063,1586.4140954697266,1356.2726547851562,1583.2580803222656,1822.8853062500002
5,2681.7016835302734,2456.156525097656,2690.0073193359376,2896.393444921875,1795.3478700930175,1562.1112147460938,1796.013525390625,2021.6796560058594
6,2585.0515307812498,2360.766787011719,2592.3588530273437,2796.418056640625,1736.7761035371095,1512.0363210937498,1738.3006918945312,1949.162630859375
7,2476.387501469727,2297.1493958007813,2477.840652832031,2647.6162314453127,1580.6810044284973,1409.7018689453125,1578.1175014648438,1756.2066791992188
8,2348.469107947754,2159.886224267578,2355.8294580078127,2533.2784558593753,1513.8706113252258,1330.4424779785156,1514.4998823242188,1692.449243359375
9,1790.5266435463866,1583.9360412597657,1781.7031450195313,2004.688506640625,1079.5596108703614,913.6112084716797,1071.413807006836,1259.1104967285157
10,1162.163227769043,969.781182397461,1168.2134985351563,1342.642855517578,646.8777720128403,504.84324638671876,644.8510220012665,788.8397364009858
11,500.13779070654294,383.9375397216797,496.9209873046875,615.3415587158203,237.13962352243186,172.31190132713317,235.03733670043945,306.08955977783205
12,303.8907502316894,232.5022100341797,299.00035107421877,384.1693031738281,132.2734303763063,96.80430449650288,130.2898444544077,171.30679485321045
