feature,mean_abs_shap
energy_delta_lag_1h,353.52972
energy_roll_mean_3h,197.53424
dni_clear_sky_wm2,122.95099
hour_sin,103.27001
ghi_clear_sky_wm2,73.250465
ghi_roll_std_3h,40.021294
ghi_roll_mean_3h,37.00084
clouds_all,30.25843
solar_azimuth_deg,27.94045
energy_delta_lag_3h,25.864973
ghi_toa_horizontal_wm2,20.356466
ghi_lag_3h,14.296828
clear_sky_index_lag_1h,14.120106
ghi_lag_1h,12.595043
humidity,8.475097
dhi_clear_sky_wm2,8.128679
energy_delta_lag_1d,8.07288
ghi_lag_1d,7.2318587
wind_speed,7.035026
temp,6.4475183
clear_sky_index_lag_3h,6.370094
pressure,5.7416587
weather_type,4.758258
hour_cos,4.7327924
rain_1h,4.579284
month_sin,4.5506334
solar_elevation_deg,3.4527647
month_cos,3.280085
cos_solar_zenith,2.993404
clear_sky_index_lag_1d,2.7145956
weekday_sin,1.532334
solar_zenith_deg,1.1350789
weekday_cos,1.1293341
season,0.7637238
snow_1h,0.052294694
is_weekend,0.0
